# Locations of frequency sampling points
# M=91
# Wavenumber x	Wavenumber y
# [1/m]	[1/m]
1.000e-01	0.000e+00
9.397e-02	3.420e-02
7.660e-02	6.428e-02
5.000e-02	8.660e-02
1.736e-02	9.848e-02
-1.736e-02	9.848e-02
-5.000e-02	8.660e-02
-7.660e-02	6.428e-02
-9.397e-02	3.420e-02
1.500e-01	0.000e+00
1.462e-01	3.338e-02
1.351e-01	6.508e-02
1.173e-01	9.352e-02
9.352e-02	1.173e-01
6.508e-02	1.351e-01
3.338e-02	1.462e-01
9.185e-18	1.500e-01
-3.338e-02	1.462e-01
-6.508e-02	1.351e-01
-9.352e-02	1.173e-01
-1.173e-01	9.352e-02
-1.351e-01	6.508e-02
-1.462e-01	3.338e-02
2.000e-01	0.000e+00
1.970e-01	3.473e-02
1.879e-01	6.840e-02
1.732e-01	1.000e-01
1.532e-01	1.286e-01
1.286e-01	1.532e-01
1.000e-01	1.732e-01
6.840e-02	1.879e-01
3.473e-02	1.970e-01
1.225e-17	2.000e-01
-3.473e-02	1.970e-01
-6.840e-02	1.879e-01
-1.000e-01	1.732e-01
-1.286e-01	1.532e-01
-1.532e-01	1.286e-01
-1.732e-01	1.000e-01
-1.879e-01	6.840e-02
-1.970e-01	3.473e-02
2.500e-01	0.000e+00
2.477e-01	3.404e-02
2.407e-01	6.745e-02
2.293e-01	9.960e-02
2.136e-01	1.299e-01
1.939e-01	1.578e-01
1.706e-01	1.827e-01
1.442e-01	2.042e-01
1.150e-01	2.220e-01
8.372e-02	2.356e-01
5.086e-02	2.448e-01
1.706e-02	2.494e-01
-1.706e-02	2.494e-01
-5.086e-02	2.448e-01
-8.372e-02	2.356e-01
-1.150e-01	2.220e-01
-1.442e-01	2.042e-01
-1.706e-01	1.827e-01
-1.939e-01	1.578e-01
-2.136e-01	1.299e-01
-2.293e-01	9.960e-02
-2.407e-01	6.745e-02
-2.477e-01	3.404e-02
3.000e-01	0.000e+00
2.980e-01	3.483e-02
2.919e-01	6.918e-02
2.819e-01	1.026e-01
2.681e-01	1.346e-01
2.506e-01	1.649e-01
2.298e-01	1.928e-01
2.059e-01	2.182e-01
1.791e-01	2.406e-01
1.500e-01	2.598e-01
1.188e-01	2.755e-01
8.604e-02	2.874e-01
5.209e-02	2.954e-01
1.744e-02	2.995e-01
-1.744e-02	2.995e-01
-5.209e-02	2.954e-01
-8.604e-02	2.874e-01
-1.188e-01	2.755e-01
-1.500e-01	2.598e-01
-1.791e-01	2.406e-01
-2.059e-01	2.182e-01
-2.298e-01	1.928e-01
-2.506e-01	1.649e-01
-2.681e-01	1.346e-01
-2.819e-01	1.026e-01
-2.919e-01	6.918e-02
-2.980e-01	3.483e-02
