# Coordinates of possible sensor positions
# N=205
# Easting	Northing
# [m]	[m]
0.000e+00	0.000e+00
8.571e-01	0.000e+00
6.061e-01	6.061e-01
5.248e-17	8.571e-01
-6.061e-01	6.061e-01
-8.571e-01	1.050e-16
-6.061e-01	-6.061e-01
-1.575e-16	-8.571e-01
6.061e-01	-6.061e-01
1.714e+00	0.000e+00
1.566e+00	6.973e-01
1.147e+00	1.274e+00
5.297e-01	1.630e+00
-1.792e-01	1.705e+00
-8.571e-01	1.485e+00
-1.387e+00	1.008e+00
-1.677e+00	3.564e-01
-1.677e+00	-3.564e-01
-1.387e+00	-1.008e+00
-8.571e-01	-1.485e+00
-1.792e-01	-1.705e+00
5.297e-01	-1.630e+00
1.147e+00	-1.274e+00
1.566e+00	-6.973e-01
2.571e+00	0.000e+00
2.467e+00	7.245e-01
2.163e+00	1.390e+00
1.684e+00	1.943e+00
1.068e+00	2.339e+00
3.660e-01	2.545e+00
-3.660e-01	2.545e+00
-1.068e+00	2.339e+00
-1.684e+00	1.943e+00
-2.163e+00	1.390e+00
-2.467e+00	7.245e-01
-2.571e+00	3.149e-16
-2.467e+00	-7.245e-01
-2.163e+00	-1.390e+00
-1.684e+00	-1.943e+00
-1.068e+00	-2.339e+00
-3.660e-01	-2.545e+00
3.660e-01	-2.545e+00
1.068e+00	-2.339e+00
1.684e+00	-1.943e+00
2.163e+00	-1.390e+00
2.467e+00	-7.245e-01
3.429e+00	0.000e+00
3.348e+00	7.370e-01
3.112e+00	1.440e+00
2.729e+00	2.075e+00
2.220e+00	2.613e+00
1.606e+00	3.029e+00
9.172e-01	3.304e+00
1.856e-01	3.424e+00
-5.547e-01	3.383e+00
-1.269e+00	3.185e+00
-1.924e+00	2.838e+00
-2.489e+00	2.358e+00
-2.938e+00	1.768e+00
-3.249e+00	1.095e+00
-3.408e+00	3.707e-01
-3.408e+00	-3.707e-01
-3.249e+00	-1.095e+00
-2.938e+00	-1.768e+00
-2.489e+00	-2.358e+00
-1.924e+00	-2.838e+00
-1.269e+00	-3.185e+00
-5.547e-01	-3.383e+00
1.856e-01	-3.424e+00
9.172e-01	-3.304e+00
1.606e+00	-3.029e+00
2.220e+00	-2.613e+00
2.729e+00	-2.075e+00
3.112e+00	-1.440e+00
3.348e+00	-7.370e-01
4.286e+00	0.000e+00
4.221e+00	7.442e-01
4.027e+00	1.466e+00
3.712e+00	2.143e+00
3.283e+00	2.755e+00
2.755e+00	3.283e+00
2.143e+00	3.712e+00
1.466e+00	4.027e+00
7.442e-01	4.221e+00
2.624e-16	4.286e+00
-7.442e-01	4.221e+00
-1.466e+00	4.027e+00
-2.143e+00	3.712e+00
-2.755e+00	3.283e+00
-3.283e+00	2.755e+00
-3.712e+00	2.143e+00
-4.027e+00	1.466e+00
-4.221e+00	7.442e-01
-4.286e+00	5.248e-16
-4.221e+00	-7.442e-01
-4.027e+00	-1.466e+00
-3.712e+00	-2.143e+00
-3.283e+00	-2.755e+00
-2.755e+00	-3.283e+00
-2.143e+00	-3.712e+00
-1.466e+00	-4.027e+00
-7.442e-01	-4.221e+00
-7.873e-16	-4.286e+00
7.442e-01	-4.221e+00
1.466e+00	-4.027e+00
2.143e+00	-3.712e+00
2.755e+00	-3.283e+00
3.283e+00	-2.755e+00
3.712e+00	-2.143e+00
4.027e+00	-1.466e+00
4.221e+00	-7.442e-01
5.143e+00	0.000e+00
5.088e+00	7.488e-01
4.925e+00	1.482e+00
4.657e+00	2.183e+00
4.289e+00	2.838e+00
3.830e+00	3.432e+00
3.290e+00	3.953e+00
2.679e+00	4.390e+00
2.011e+00	4.733e+00
1.301e+00	4.976e+00
5.625e-01	5.112e+00
-1.878e-01	5.139e+00
-9.341e-01	5.057e+00
-1.661e+00	4.867e+00
-2.352e+00	4.574e+00
-2.992e+00	4.183e+00
-3.570e+00	3.702e+00
-4.071e+00	3.143e+00
-4.485e+00	2.517e+00
-4.804e+00	1.837e+00
-5.020e+00	1.118e+00
-5.129e+00	3.754e-01
-5.129e+00	-3.754e-01
-5.020e+00	-1.118e+00
-4.804e+00	-1.837e+00
-4.485e+00	-2.517e+00
-4.071e+00	-3.143e+00
-3.570e+00	-3.702e+00
-2.992e+00	-4.183e+00
-2.352e+00	-4.574e+00
-1.661e+00	-4.867e+00
-9.341e-01	-5.057e+00
-1.878e-01	-5.139e+00
5.625e-01	-5.112e+00
1.301e+00	-4.976e+00
2.011e+00	-4.733e+00
2.679e+00	-4.390e+00
3.290e+00	-3.953e+00
3.830e+00	-3.432e+00
4.289e+00	-2.838e+00
4.657e+00	-2.183e+00
4.925e+00	-1.482e+00
5.088e+00	-7.488e-01
6.000e+00	0.000e+00
5.955e+00	7.373e-01
5.819e+00	1.463e+00
5.595e+00	2.167e+00
5.286e+00	2.839e+00
4.897e+00	3.467e+00
4.434e+00	4.042e+00
3.904e+00	4.556e+00
3.314e+00	5.002e+00
2.674e+00	5.371e+00
1.994e+00	5.659e+00
1.284e+00	5.861e+00
5.536e-01	5.974e+00
-1.848e-01	5.997e+00
-9.203e-01	5.929e+00
-1.642e+00	5.771e+00
-2.339e+00	5.525e+00
-3.000e+00	5.196e+00
-3.616e+00	4.788e+00
-4.177e+00	4.307e+00
-4.674e+00	3.762e+00
-5.101e+00	3.159e+00
-5.451e+00	2.508e+00
-5.718e+00	1.819e+00
-5.898e+00	1.102e+00
-5.989e+00	3.694e-01
-5.989e+00	-3.694e-01
-5.898e+00	-1.102e+00
-5.718e+00	-1.819e+00
-5.451e+00	-2.508e+00
-5.101e+00	-3.159e+00
-4.674e+00	-3.762e+00
-4.177e+00	-4.307e+00
-3.616e+00	-4.788e+00
-3.000e+00	-5.196e+00
-2.339e+00	-5.525e+00
-1.642e+00	-5.771e+00
-9.203e-01	-5.929e+00
-1.848e-01	-5.997e+00
5.536e-01	-5.974e+00
1.284e+00	-5.861e+00
1.994e+00	-5.659e+00
2.674e+00	-5.371e+00
3.314e+00	-5.002e+00
3.904e+00	-4.556e+00
4.434e+00	-4.042e+00
4.897e+00	-3.467e+00
5.286e+00	-2.839e+00
5.595e+00	-2.167e+00
5.819e+00	-1.463e+00
5.955e+00	-7.373e-01
