# Locations of frequency sampling points
# M=399
# Wavenumber x	Wavenumber y
# [1/m]	[1/m]
1.000e-01	0.000e+00
8.660e-02	5.000e-02
5.000e-02	8.660e-02
6.123e-18	1.000e-01
-5.000e-02	8.660e-02
-8.660e-02	5.000e-02
1.615e-01	0.000e+00
1.536e-01	4.992e-02
1.307e-01	9.495e-02
9.495e-02	1.307e-01
4.992e-02	1.536e-01
9.891e-18	1.615e-01
-4.992e-02	1.536e-01
-9.495e-02	1.307e-01
-1.307e-01	9.495e-02
-1.536e-01	4.992e-02
2.231e-01	0.000e+00
2.166e-01	5.339e-02
1.975e-01	1.037e-01
1.670e-01	1.479e-01
1.267e-01	1.836e-01
7.910e-02	2.086e-01
2.689e-02	2.215e-01
-2.689e-02	2.215e-01
-7.910e-02	2.086e-01
-1.267e-01	1.836e-01
-1.670e-01	1.479e-01
-1.975e-01	1.037e-01
-2.166e-01	5.339e-02
2.846e-01	0.000e+00
2.791e-01	5.553e-02
2.630e-01	1.089e-01
2.366e-01	1.581e-01
2.013e-01	2.013e-01
1.581e-01	2.366e-01
1.089e-01	2.630e-01
5.553e-02	2.791e-01
1.743e-17	2.846e-01
-5.553e-02	2.791e-01
-1.089e-01	2.630e-01
-1.581e-01	2.366e-01
-2.013e-01	2.013e-01
-2.366e-01	1.581e-01
-2.630e-01	1.089e-01
-2.791e-01	5.553e-02
3.462e-01	0.000e+00
3.419e-01	5.415e-02
3.292e-01	1.070e-01
3.084e-01	1.572e-01
2.800e-01	2.035e-01
2.448e-01	2.448e-01
2.035e-01	2.800e-01
1.572e-01	3.084e-01
1.070e-01	3.292e-01
5.415e-02	3.419e-01
2.120e-17	3.462e-01
-5.415e-02	3.419e-01
-1.070e-01	3.292e-01
-1.572e-01	3.084e-01
-2.035e-01	2.800e-01
-2.448e-01	2.448e-01
-2.800e-01	2.035e-01
-3.084e-01	1.572e-01
-3.292e-01	1.070e-01
-3.419e-01	5.415e-02
4.077e-01	0.000e+00
4.039e-01	5.551e-02
3.926e-01	1.100e-01
3.739e-01	1.624e-01
3.483e-01	2.118e-01
3.163e-01	2.573e-01
2.783e-01	2.980e-01
2.351e-01	3.331e-01
1.876e-01	3.620e-01
1.365e-01	3.842e-01
8.295e-02	3.992e-01
2.782e-02	4.067e-01
-2.782e-02	4.067e-01
-8.295e-02	3.992e-01
-1.365e-01	3.842e-01
-1.876e-01	3.620e-01
-2.351e-01	3.331e-01
-2.783e-01	2.980e-01
-3.163e-01	2.573e-01
-3.483e-01	2.118e-01
-3.739e-01	1.624e-01
-3.926e-01	1.100e-01
-4.039e-01	5.551e-02
4.692e-01	0.000e+00
4.661e-01	5.447e-02
4.566e-01	1.082e-01
4.409e-01	1.605e-01
4.193e-01	2.106e-01
3.920e-01	2.578e-01
3.595e-01	3.016e-01
3.220e-01	3.413e-01
2.802e-01	3.764e-01
2.346e-01	4.064e-01
1.859e-01	4.309e-01
1.346e-01	4.495e-01
8.148e-02	4.621e-01
2.728e-02	4.684e-01
-2.728e-02	4.684e-01
-8.148e-02	4.621e-01
-1.346e-01	4.495e-01
-1.859e-01	4.309e-01
-2.346e-01	4.064e-01
-2.802e-01	3.764e-01
-3.220e-01	3.413e-01
-3.595e-01	3.016e-01
-3.920e-01	2.578e-01
-4.193e-01	2.106e-01
-4.409e-01	1.605e-01
-4.566e-01	1.082e-01
-4.661e-01	5.447e-02
5.308e-01	0.000e+00
5.279e-01	5.548e-02
5.192e-01	1.104e-01
5.048e-01	1.640e-01
4.849e-01	2.159e-01
4.597e-01	2.654e-01
4.294e-01	3.120e-01
3.944e-01	3.552e-01
3.552e-01	3.944e-01
3.120e-01	4.294e-01
2.654e-01	4.597e-01
2.159e-01	4.849e-01
1.640e-01	5.048e-01
1.104e-01	5.192e-01
5.548e-02	5.279e-01
3.250e-17	5.308e-01
-5.548e-02	5.279e-01
-1.104e-01	5.192e-01
-1.640e-01	5.048e-01
-2.159e-01	4.849e-01
-2.654e-01	4.597e-01
-3.120e-01	4.294e-01
-3.552e-01	3.944e-01
-3.944e-01	3.552e-01
-4.294e-01	3.120e-01
-4.597e-01	2.654e-01
-4.849e-01	2.159e-01
-5.048e-01	1.640e-01
-5.192e-01	1.104e-01
-5.279e-01	5.548e-02
5.923e-01	0.000e+00
5.898e-01	5.465e-02
5.822e-01	1.088e-01
5.697e-01	1.621e-01
5.523e-01	2.140e-01
5.302e-01	2.640e-01
5.036e-01	3.118e-01
4.727e-01	3.569e-01
4.377e-01	3.990e-01
3.990e-01	4.377e-01
3.569e-01	4.727e-01
3.118e-01	5.036e-01
2.640e-01	5.302e-01
2.140e-01	5.523e-01
1.621e-01	5.697e-01
1.088e-01	5.822e-01
5.465e-02	5.898e-01
3.627e-17	5.923e-01
-5.465e-02	5.898e-01
-1.088e-01	5.822e-01
-1.621e-01	5.697e-01
-2.140e-01	5.523e-01
-2.640e-01	5.302e-01
-3.118e-01	5.036e-01
-3.569e-01	4.727e-01
-3.990e-01	4.377e-01
-4.377e-01	3.990e-01
-4.727e-01	3.569e-01
-5.036e-01	3.118e-01
-5.302e-01	2.640e-01
-5.523e-01	2.140e-01
-5.697e-01	1.621e-01
-5.822e-01	1.088e-01
-5.898e-01	5.465e-02
6.538e-01	0.000e+00
6.515e-01	5.545e-02
6.444e-01	1.105e-01
6.327e-01	1.648e-01
6.165e-01	2.178e-01
5.958e-01	2.693e-01
5.708e-01	3.189e-01
5.417e-01	3.661e-01
5.087e-01	4.108e-01
4.720e-01	4.524e-01
4.320e-01	4.908e-01
3.888e-01	5.257e-01
3.428e-01	5.568e-01
2.944e-01	5.838e-01
2.438e-01	6.067e-01
1.915e-01	6.252e-01
1.378e-01	6.392e-01
8.305e-02	6.486e-01
2.775e-02	6.533e-01
-2.775e-02	6.533e-01
-8.305e-02	6.486e-01
-1.378e-01	6.392e-01
-1.915e-01	6.252e-01
-2.438e-01	6.067e-01
-2.944e-01	5.838e-01
-3.428e-01	5.568e-01
-3.888e-01	5.257e-01
-4.320e-01	4.908e-01
-4.720e-01	4.524e-01
-5.087e-01	4.108e-01
-5.417e-01	3.661e-01
-5.708e-01	3.189e-01
-5.958e-01	2.693e-01
-6.165e-01	2.178e-01
-6.327e-01	1.648e-01
-6.444e-01	1.105e-01
-6.515e-01	5.545e-02
7.154e-01	0.000e+00
7.133e-01	5.476e-02
7.070e-01	1.092e-01
6.966e-01	1.630e-01
6.820e-01	2.158e-01
6.635e-01	2.674e-01
6.411e-01	3.174e-01
6.149e-01	3.656e-01
5.851e-01	4.116e-01
5.519e-01	4.552e-01
5.155e-01	4.961e-01
4.760e-01	5.341e-01
4.337e-01	5.689e-01
3.889e-01	6.005e-01
3.418e-01	6.285e-01
2.926e-01	6.528e-01
2.418e-01	6.733e-01
1.896e-01	6.898e-01
1.362e-01	7.023e-01
8.204e-02	7.107e-01
2.740e-02	7.149e-01
-2.740e-02	7.149e-01
-8.204e-02	7.107e-01
-1.362e-01	7.023e-01
-1.896e-01	6.898e-01
-2.418e-01	6.733e-01
-2.926e-01	6.528e-01
-3.418e-01	6.285e-01
-3.889e-01	6.005e-01
-4.337e-01	5.689e-01
-4.760e-01	5.341e-01
-5.155e-01	4.961e-01
